product_slug,product_name,type,platform,affiliate_url,commission_pct,notes
bundle-apps-ia,Bundle Apps IA Gratuites,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Liste organisée des apps mentionnées.
gadgets-bureau-2025,Pack Gadgets Bureau 2025,physical,amazon,REMPLACER_PAR_VOTRE_LIEN_AMAZON,3-12%,Choisir 2-3 gadgets FR.
checklist-sidehustle,Checklist Side Hustle PDF,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Checklist gratuite → capter e-mails.
template-notion-ia,Template Notion IA,digital,notion,REMPLACER_PAR_VOTRE_LIEN,0%,Peut être gratuit ou 5€.
prompts-tiktok-views,Prompts TikTok (Doc),digital,gumroad/kofi,REMPLACER_PAR_VOTRE_LIEN_AFFILIATE_GUMROAD,5-10%,Prompts en fr/en.
apps-audio-gratuites,Apps Audio Gratuites,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Lister les liens officiels.
pack-miniservices-ia,Pack Micro-Services IA,digital,gumroad/digistore24,REMPLACER_PAR_VOTRE_LIEN_AFFILIATE,30-70%,Chercher offre digistore proche.
apps-focus-top3,Apps Focus Top 3,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Mettre liens officiels.
organiseur-bureau-duo,Organiseurs de Bureau (2 pièces),physical,amazon,REMPLACER_PAR_VOTRE_LIEN_AMAZON,3-12%,Support vertical + passe-câbles.
livre-80-20,Livre 80/20 (FR),physical,amazon,REMPLACER_PAR_VOTRE_LIEN_AMAZON,3-12%,Choisir édition FR.
extensions-chrome-top3,Extensions Chrome Top 3,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Liens webstore.
templates-canva-miniatures,Templates Miniatures Canva,digital,canva,REMPLACER_PAR_VOTRE_LIEN,0%,Liens templates.
apps-traduction-live,Apps Traduction Live,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Liens stores officiels.
checklist-7-jours,Checklist 7 Jours PDF,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Lead magnet pour emails.
apps-shorts-auto,Apps Shorts Auto,digital,notion/drive,REMPLACER_PAR_VOTRE_LIEN,0%,Liens officiels.
